,qlabel,lemmas,instruction,category
2097,NULL,(),"Which of the following two-dimensional shapes are made using only curved lines? And which use only straight lines? oval, rectangle, square, pentagon, circle and rhombus.",classification
2098,NULL,(),"Identify the bird from the list: Pendulum, Bewick's swan, Iceberg",classification
2099,NULL,(),Extract the names of Jesse LaFollette's grandchildren from the provided passage,information_extraction
2100,NULL,(),Given this paragraph about hockey what are different surfaces that hockey is played on?,closed_qa
2101,WHQ,"('where', 'can')",Where can you find the Citron-bellied attila?,summarization
2102,WHQ,"('what', 'do')",What does HEMA stand for? ​​,open_qa
2103,WHQ,"('why', 'be')",Why are some reasons to vacation in New Zealand?,general_qa
2104,WHQ,"('what', 'be')",What is a mutual fund?,open_qa
2105,WHQ,"('why', 'be')",Why is the United States Military Academy called West Point?,general_qa
2106,NULL,(),Name three movies with Denzel Washington.,open_qa
2107,WHQ,"('which', 'fly')",Which bird flies the farthest?,open_qa
2108,WHQ,"('why', 'be')",Why was the model T only produced in black?,open_qa
2109,NULL,(),Give me a list of the most famous tech companies in the world,brainstorming
2110,NULL,(),Write a story about a man who finds a magic lamp that has a genie inside. The genie should grant him wishes and the story should conclude with a tragic ending.,creative_writing
2111,WHQ,"('why', 'be')",Why were the original Old English Bible translations created?,summarization
2112,WHQ,"('what', 'be')",What is an index fund?,open_qa
2113,WHQ,"('how', 'be')",How Is Linux Licensed?,general_qa
2114,NULL,(),How to be rich?,brainstorming
2115,WHQ,"('who', 'be')",Who is the current manager of Arsenal Football Club?,open_qa
2116,NULL,(),"Given this paragraph about Jack Kerouac, tell me where he was raised, what was his most famous book, when was that book published, and which movement was he a part of?",closed_qa
2117,WHQ,"('why', 'do')",Why do Jewish holidays begin at sunset the night before?,general_qa
2118,NULL,(),"Based on the given text, List some aspects of the pearl.",summarization
2119,WHQ,"('what', 'be')",What is a personality test?,information_extraction
2120,NULL,(),Name some titles from the Goosebumps series.,open_qa
2121,WHQ,"('what', 'be')",What is the best kind of bread?,general_qa
2122,WHQ,"('what', 'be')",What were the main results of applying statistical analysis to the English language?,summarization
2123,NULL,(),Based on the provided paragraph give a bullet list of the names of the countries (regions) which took part in WWI and their reasons?,summarization
2124,NULL,(),Create a bulleted list of Hawking's accomplishments based on this passage.,summarization
2125,WHQ,"('what', 'be')",What is the Family of the orchid Bulbophyllum concatenatum?,information_extraction
2126,WHQ,"('who', 'be')",Who is the first African-American to perform at the Metropolitan Opera?,open_qa
2127,WHQ,"('what', 'be')",What is Type 2 Diabetes?,summarization
2128,WHQ,"('how', 'do')",How do I see how large a dataset is in Spark?,general_qa
2129,NULL,(),How many people live in the city of Oakland in 2022?,closed_qa
2130,NULL,(),"Let’s solve the following math problem. Each rabbit has 4 feets and each duck has 2 feets. If there are in total 25 heads and 88 feets, how many rabbits and how many ducks are there?",general_qa
2131,NULL,(),Name some famous songs by the Beatles,open_qa
2132,NULL,(),What kind of boat should I purchase?,general_qa
2133,WHQ,"('what', 'be')",What was Seward's Folly?,open_qa
2134,WHQ,"('what', 'be')",What are the main components of AWS Kinesis?,general_qa
2135,NULL,(),Give me a list of video game systems from the past few decades,brainstorming
2136,QIS,"('be', 'thing')","Are these things heavy or light? Empty soup bowl, empty shipping container, couch, pillow, apple, pencil, mattress",classification
2137,NULL,(),Classify each of the following words as either a noun or a verb,classification
2138,WHQ,"('what', 'be')",What is the best place in Thailand,brainstorming
2139,NULL,(),Provide a list of some Japanese art forms I've not heard of.,brainstorming
2140,WHQ,"('what', 'be')",What is combinatorial optimisation?,open_qa
2141,WHQ,"('what', 'be')",What is a Keystone?,open_qa
2142,WHQ,"('how', 'should')","How best should I travel from London to Edinburgh, UK ?",creative_writing
2143,WHQ,"('how', 'can')",How can teachers address health disparities in society?,general_qa
2144,WHQ,"('what', 'be')",What are the best woods for smoking?,open_qa
2145,NULL,(),"Without quoting directly from the text, give me a summary of how rainbows are formed.",summarization
2146,WHQ,"('who', 'be')",Who is Taehoon Oh?,creative_writing
2147,NULL,(),Give me a bulleted list of cricketers by highest number of international centuries scored,brainstorming
2148,NULL,(),"Identify which animal species is alive or extinct: Indian Elephant, Irish Elk",classification
2149,NULL,(),"Provide a bullet point list of all primary matter phase transitions, with the name of the process following by the matter states involved  Use the format: {process name}: {initial state} -> {final state}",open_qa
2150,NULL,(),"Based on this passage about UCLA, tell me the difference between North Campus and South Campus and which residential areas border the campus.",closed_qa
2151,NULL,(),Should superheroes be allowed to break the law?,creative_writing
2152,NULL,(),"Based on the provided information, when will we achieve AGI?",closed_qa
2153,NULL,(),Which of the following are movies with the actor Deepika Padukone?,classification
2154,WHQ,"('what', 'be')",What's the first 3 things you do when you wake up in the morning ?,brainstorming
2155,NULL,(),"From the paragraph about Space Needle, tell me where is located, when it was built, how tall the monument is and one more tourist fact about it.",information_extraction
2156,WHQ,"('what', 'be')",What are some practical applications of Burnside's lemma in combinatorics based on this passage?,summarization
2157,WHQ,"('what', 'be')",What are the unethical behaviors in the corporate world? Illustrate with an example.,creative_writing
2158,NULL,(),"Identify the bird from the list: Canada Dry, Canada goose, Goosebumps",classification
2159,WHQ,"('what', 'be')",what are the benefit of meditation?,open_qa
2160,WHQ,"('what', 'be')",What city is Microsoft Based in?,open_qa
2161,NULL,(),How many national high school records does Shana Woods currently hold based on the paragraph?,closed_qa
2162,WHQ,"('what', 'be')",What are the two major bacterial pathogens of Anaplasma bacteria?,summarization
2163,QIS,"('be', 'GSIs')",are GSIs important to being a global company,open_qa
2164,NULL,(),Extract the locations where Nachum lived from the text below and list them in alphabetical order and separated by a semicolon.,information_extraction
2165,WHQ,"('who', 'be')",Who are the best college football programs of all time?,general_qa
2166,WHQ,"('which', 'be')",Which is the capital of Union Territory of Ladakh ?,information_extraction
2167,NULL,(),Give me a list of Tour de France general Classification winners who have won more than 4 times.,brainstorming
2168,NULL,(),"Given a reference text about a singer, tell me when they debuted, what their first release was, and what their most popular song is.",closed_qa
2169,WHQ,"('what', 'be')",What are Arabic numerals?,general_qa
2170,NULL,(),"From the passage provided, extract the date of birth of Gandhi",information_extraction
2171,WHQ,"('what', 'be')",What is the only established city of the Dothraki people?,open_qa
2172,NULL,(),"Classify each of the following as either a Sega or Nintendo game: Super Mario Bros, Sonic the Hedgehog, Altered Beast, Road Rash, Legend of Zelda, Ecco the Dolphin, ToeJam & Earl, Metroid, Chrono Trigger, Donkey Kong Country",classification
2173,WHQ,"('what', 'should')",What stroller should I buy for my newborn baby?,brainstorming
2174,NULL,(),"Based on the following paragraph, list the weather conditions associated with summer around the world.",information_extraction
2175,NULL,(),Provide a 10-step flow for a heterosexual couple's non-religious wedding ceremony.,creative_writing
2176,NULL,(),"Tell me whether these are shoes or clothing brands: Nike, Tommy Hilfiger, Adidas, Levi's, Reebok, Puma, Wrangler.",classification
2177,NULL,(),The Death of Socrates was painted by whom?,open_qa
2178,WHQ,"('why', 'do')",Why did Georges think that Helene redirected her affections towards Walter Rogers?,closed_qa
2179,WHQ,"('what', 'be')",What are fast recipes to make for dinner?,general_qa
2180,NULL,(),Write a short blog post about why you have chosen to delete your instagram account and why you think that instagram has an negative impact on society.,creative_writing
2181,WHQ,"('what', 'be')",What is the capital of Maine?,open_qa
2182,NULL,(),"Given a reference text about the 2008 Pittsburgh Pirates season, what was their record for the season?",closed_qa
2183,NULL,(),Name a battlefield surgeon,information_extraction
2184,WHQ,"('what', 'be')",What's the best baseball team?,general_qa
2185,NULL,(),please give me a short description about SVB collapse,summarization
2186,NULL,(),Different uses for glass,brainstorming
2187,NULL,(),Give me some suggestions for good South East Asian restaurants near downtown Seattle,brainstorming
2188,NULL,(),"According to the passage, mention some of Taylor’s hit songs after signing for Republic records.",information_extraction
2189,WHQ,"('what', 'be')",What is Active Directory?,open_qa
2190,WHQ,"('who', 'invent')",Who invented the computer?,general_qa
2191,WHQ,"('what', 'be')",What is the Phillips curve?,open_qa
2192,NULL,(),Extract the essential tools for a mini survival kit from the following Wikipedia article.,information_extraction
2193,NULL,(),Think up a short list of the best US Presidents,brainstorming
2194,NULL,(),"Identify which instrument is string or percussion: Dholak, Sitar",classification
2195,WHQ,"('why', 'do')",Why do people like to ski?,general_qa
2196,WHQ,"('where', 'be')",Where was the first capital of Alaska?,open_qa
2197,NULL,(),"Based on the following paragraph, list the Himalayan peaks that were surveyed and identified during the 19th century.",summarization
2198,WHQ,"('what', 'be')",What is the difference between football and soccer?,open_qa
2199,WHQ,"('why', 'be')",Why is steam important when making bread?,general_qa
2200,WHQ,"('what', 'be')",What are three tips to a successful fishing outing?,general_qa
2201,NULL,(),Extract the awards that Caitlin Clark won during her Junior year season at Iowa State.,information_extraction
2202,WHQ,"('what', 'be')",What is observer bias,closed_qa
2203,WHQ,"('who', 'be')",Who is the lead singer of Korn?,open_qa
2204,WHQ,"('when', 'do')",When did the Post Office in Mission Beach first open?,closed_qa
2205,WHQ,"('which', 'have')",Which trophies have West Ham won?,summarization
2206,NULL,(),Briefly summarize this paragraph on a Pearl Harbor conspiracy theory.,summarization
2207,NULL,(),Give me a bulleted list of the 5 most recent Pakistani Prime Ministers,brainstorming
2208,WHQ,"('when', 'do')",When did Porsche stop producing air-cooled engines in the 911?,closed_qa
2209,WHQ,"('how', 'do')",How do people get where they want to go,general_qa
2210,WHQ,"('what', 'be')",What are some common types of lettuce used in salad and other dishes?,brainstorming
2211,WHQ,"('where', 'can')",Where can I go to find out what is on the ballot for any given election in Wisconsin?,general_qa
2212,NULL,(),Give me a list of the best movies I've never seen.,brainstorming
2213,NULL,(),Give me a list of Premier League winners and runners-up in the last 5 years.,brainstorming
2214,NULL,(),"Of the cities listed, which was furthest from the station?",closed_qa
2215,WHQ,"('which', 'be')","Which is an imperial or a metric measurement: pint, millilitres",classification
2216,WHQ,"('what', 'be')",What is Allsvenskan?,open_qa
2217,WHQ,"('how', 'would')",How would you describe genomics?,brainstorming
2218,NULL,(),Explain Storage Credential and External locations used in conjunction with Unity Catalog to a five year old.,general_qa
2219,NULL,(),Give me a list of things to ask while triaging a support ticket,brainstorming
2220,NULL,(),Was the hermit hummingbird hawkmoth described in the 20th or 21st century?,closed_qa
2221,WHQ,"('where', 'be')",Where are the best places to buy hardware supplies?,brainstorming
2222,WHQ,"('what', 'be')",What are some modern examples of companies that have harnessed the power of network effects?,summarization
2223,NULL,(),"I am planning a trip to Spain. I am interested in culture, museums and art, but I also want to go to the beach and have great food. What are 5 places that I should definitely visit?",creative_writing
2224,WHQ,"('who', 'be')",Who is the visual of the kpop group Twice?,open_qa
2225,NULL,(),"There are many different types, styles and genres of dance. Categorize these dances based on the their style;

Mambo, Kizomba, Robot, Jazz dance, Lady hop, Rumba, west coat swing, Boogaloo, blues",classification
2226,WHQ,"('what', 'be')",What are common gaming consoles used to play video games?,open_qa
2227,WHQ,"('who', 'be')",Who is Bryan Adams,summarization
2228,QIS,"('be', 'it')",Is it safe to invest in cryptocurrency?,open_qa
2229,NULL,(),Give me three reasons why cactuses aren't real.,general_qa
2230,NULL,(),"Given a reference text about dried spaghetti production, what is required to produce spaghetti without errors?",closed_qa
2231,WHQ,"('what', 'be')",What is an acoholic?,open_qa
2232,WHQ,"('which', 'have')",Which English football club has won the most FA Cup trophies?,closed_qa
2233,WHQ,"('what', 'be')",What are the most important metrics for a Sales Leader?,brainstorming
2234,WHQ,"('what', 'be')",What’s it like living in NYC compared to other US cities?,general_qa
2235,WHQ,"('why', 'be')",Why is my buttercream frosting not white?,creative_writing
2236,NULL,(),Given this paragraph are Beavers the largest living rodents?,closed_qa
2237,WHQ,"('who', 'develop')",Who developed Pilates?,summarization
2238,WHQ,"('what', 'be')",What is Equity theater?,summarization
2239,NULL,(),What type of products does this company produce?,closed_qa
2240,WHQ,"('what', 'be')",What is sourdough bread?,general_qa
2241,WHQ,"('what', 'be')",What is considered as DACH region?,open_qa
2242,WHQ,"('what', 'be')",What is 75 hard and what are the tasks?,brainstorming
2243,WHQ,"('what', 'can')",What can people do to entertain cats?,open_qa
2244,NULL,(),Tell me about the album The Any Day Now,closed_qa
2245,WHQ,"('what', 'be')",What is the use of a vaccine?,information_extraction
2246,WHQ,"('what', 'be')",What are Gummi Bears called in England?,open_qa
2247,WHQ,"('what', 'be')","What is the difference between bills, notes, and bonds?",open_qa
2248,WHQ,"('what', 'can')",What steps can I take to avoid getting hit by a falling window from a skyscraper while walking about in downtown during high winds?,brainstorming
2249,NULL,(),What cause toe fungus?,open_qa
2250,NULL,(),"Tell me whether each of these positions is in soccer or baseball: shortstop, outfielder, midfielder, forward, goalie, catcher",classification
2251,WHQ,"('which', 'be')",Which country is the state of Illinois apart of?,open_qa
2252,WHQ,"('what', 'be')",What are three popular movies with Steve Carell?,open_qa
2253,WHQ,"('what', 'be')",What are the main ingredients of deviled eggs and what are some unique add-in ideas?,brainstorming
2254,WHQ,"('what', 'be')",What is Your Lie in April about?,summarization
2255,WHQ,"('what', 'be')",What is the best private Jesuit research university in Boston ?,closed_qa
2256,NULL,(),"Given this reference on Yorkshire Terriers, tell me where they originate from, and what are their typical size and color.",closed_qa
2257,WHQ,"('why', 'be')",Why is the Chrysler Hemi V8 so legendary?,general_qa
2258,NULL,(),Provide all the key information about how the look and the names for the white ibis,summarization
2259,WHQ,"('who', 'be')",Who is Laika and why is she famous?,closed_qa
2260,WHQ,"('what', 'be')",What is wholesale banking?,open_qa
2261,NULL,(),Classify these foods as proteins or carbohydrates,classification
2262,WHQ,"('what', 'be')",what are the rules of cricket ?,summarization
2263,NULL,(),"Give this paragraph abount Battle of Adwa between Ethiopia and Italy, who were the commanders on Ethiopian side.",closed_qa
2264,NULL,(),"If I give you a list of weapons, can you break them into melee and ranged. The list is knife, bow, axe, shotgun, mace, whip, rifle and cannon.",classification
2265,NULL,(),Tell me a terrifying fact about moray eels.,general_qa
2266,WHQ,"('what', 'be')",What is the climbing history summary of Gurla Mandhata?,summarization
2267,NULL,(),Extract the current points scoring table for current Formula 1's grand prixs in the form of [Place of Finish- Points Scored],information_extraction
2268,NULL,(),"Which of the following countries are in Europe and which are in the rest of the world: Nicaragua, Australia, Austria, New Zealand, Morocco, Spain, Greece, China, Chile?",classification
2269,NULL,(),"Which of the following foods could a vegan eat and which would they have to avoid: egg, almond milk, cheese, gelatin, chicken noodle soup, lettuce, and bread.",classification
2270,WHQ,"('why', 'be')",Why are sports so popular?,general_qa
2271,WHQ,"('why', 'would')",Why would an oil and gas exploration company utilize directional drilling in their drilling program?,general_qa
2272,NULL,(),"Given a reference text about Hackpad, what company acquired it?",closed_qa
2273,NULL,(),List the actors and actresses who were included in the cast of the movie Avengers: Endgame.,information_extraction
2274,QIS,"('be', 'game')",Is cricket game popular in some parts of the world?,general_qa
2275,NULL,(),"From the passage provided, extract the name of the first non-European to win the Nobel Prize in Literature.",information_extraction
2276,WHQ,"('who', 'be')",Who was William P. Bolton,summarization
2277,NULL,(),"From the passage provided, extract the city where Elizabeth Taylor's parents were from",information_extraction
2278,WHQ,"('what', 'be')",What are some of the best vegan protein sources,brainstorming
2279,WHQ,"('what', 'be')",What was the first living creature sent into orbit around Earth?,open_qa
2280,WHQ,"('what', 'be')",What is a hadron?,open_qa
2281,WHQ,"('what', 'be')",What are the songs on the album At Basin Street?,brainstorming
2282,NULL,(),To acquire Swedish citizenship by naturalisation what should be the minimum age of the applicant and what documents are required.,closed_qa
2283,NULL,(),"Tell me if the following music pieces are considered classical music, jazz music or pop music? The magic flute, Kind of blue, Wish you were here, Bach's Saint John Passion, Take five, We are the champions.",classification
2284,WHQ,"('who', 'be')",Who is the best cricketer in the world,brainstorming
2285,WHQ,"('how', 'can')",How can I make every color of paint?,open_qa
2286,WHQ,"('what', 'be')",What is postmodernism?,closed_qa
2287,WHQ,"('which', 'be')",Which is the largest American Football stadium,summarization
2288,WHQ,"('who', 'be')",Who are the last 7 men's icc world cup winners in ODI?,brainstorming
2289,NULL,(),Which season three episode did Alik Sakharov direct in Game of Thrones?,open_qa
2290,WHQ,"('which', 'have')",which country has the least diverse food?,brainstorming
2291,WHQ,"('what', 'do')",What does the software company Teamwork do and where is it located,open_qa
2292,NULL,(),"In YAML tell me a list of teams mentioned in the text. It should be in the form `location: ${location}`, `mascot: ${mascot}`",information_extraction
2293,NULL,(),"Mahatma Gandhi gave a slogan on Aug 8, 1942 .What was the slogan?",open_qa
2294,WHQ,"('what', 'do')",What does a typical financial planning and analysis team structure consist of?,general_qa
2295,WHQ,"('what', 'be')",What is the right time to do workouts or yoga?,general_qa
2296,NULL,(),"Name three dishes that were developed from conditions of scarcity or having to ""make do” with available materials or ingredients.",brainstorming
2297,WHQ,"('who', 'be')",Who are the greatest players that have played for Manchester United?,brainstorming
2298,WHQ,"('when', 'be')",When was the last financial crisis and what caused it?,open_qa
2299,WHQ,"('what', 'be')",What was the first toy to be advertised on television?,open_qa
2300,WHQ,"('what', 'be')",What are specific reasons for seasons?,open_qa
2301,WHQ,"('what', 'be')",What is a knowledge base?,open_qa
2302,WHQ,"('what', 'be')",What city is WFSD Radio licensed to?,closed_qa
2303,NULL,(),"tell me whether these are European or American cities: New York, Milan, Paris, Chicago, San Francisco, London",classification
2304,NULL,(),Are UGGs considered fashionable?,general_qa
2305,NULL,(),How to choose the next company you work for?,general_qa
2306,WHQ,"('what', 'be')","What are the India’s Foreign Exchange Reserves as on week ended Sept 23, 2022?",open_qa
2307,NULL,(),"Extract which animals Waddell played with and which ones he fought with from the text. Separate them with a comma, putting the ones he played with first.",information_extraction
2308,WHQ,"('who', 'record')",Who recorded the song Ghost Town,closed_qa
2309,WHQ,"('why', 'do')",Why don't women have beards?,open_qa
2310,WHQ,"('how', 'do')",How do sailplanes (gliders) stay aloft?,open_qa
2311,NULL,(),"Of these senior crew members of the HMS Bounty, which turned out to be mutineers and which were loyalists:  William Bligh, John Fryer, Fletcher Christian, William Cole, William Peckover, William Purcell, William Elphinstone, Thomas Ledward, John Hallett, Thomas Hayward",classification
2312,NULL,(),Name a good ski mountain in Vermont,open_qa
2313,WHQ,"('what', 'be')",What is the company zoom?,open_qa
2314,NULL,(),"Tell me whether these are famous as actors or authors: Russell Crowe, Tom Hanks, Jamie Lee Curtis, Joanne Woodward, Sara Jessica Parker, Tom Cruise, Alexander Dumas, JK Rowling, Ingrid Bergman, Grace Kelly,  Judi Dench, Kate Winslet, Jodie Foster, Doris Day, William Shakespeare, Jalal al-Din Muhammad Rumi",classification
2315,WHQ,"('who', 'be')",Who is Lee Jung-sik,open_qa
2316,NULL,(),Can cats communicate?,information_extraction
2317,WHQ,"('what', 'be')",What was the relationship of the person who became MD at Grandmaster Capital Management to Paypal?,information_extraction
2318,WHQ,"('what', 'be')",What is SaaS?,brainstorming
2319,WHQ,"('what', 'be')",What family was well known for their power in Renaissance Italy?,open_qa
2320,NULL,(),"Classify each of the shapes as having 3, 4, or 5 sides: square, rectangle, pentagon, rhombus, triangle",classification
2321,QIS,"('be', 'headquarters')",Is the headquarters of Surrey County Council in Surrey?,general_qa
2322,WHQ,"('how', 'do')",How long does it take to golf 18 holes?,open_qa
2323,WHQ,"('what', 'be')",What is the solar system?,closed_qa
2324,WHQ,"('which', 'be')",Which is a species of fish? Lizard or Lizardfish,classification
2325,NULL,(),"Tell me whether these are dogs or cats: bulldogs, poodles, huskies, collies, shepherds",classification
2326,NULL,(),tell me about the whole world,information_extraction
2327,NULL,(),"Extract the years that Ayrton Senna da Silva won the Formula One World Championship, and put them separated by comma.",information_extraction
2328,NULL,(),Extract the Greek cities mentioned in the below text and list them from smallest to largest,information_extraction
2329,NULL,(),"For whom is Daenerys Targaryen's dragon, Viserion, named for?",open_qa
2330,DOQ,"('do', 'Africans')",Do Africans share the same origin and culture?,summarization
2331,WHQ,"('what', 'be')",What is St. Peters Basilica?,open_qa
2332,WHQ,"('what', 'be')",What are the best cliffs in Ireland?,brainstorming
2333,WHQ,"('who', 'be')",Who was the first computer programmer?,closed_qa
2334,WHQ,"('who', 'be')",Who is Silvio Micali?,closed_qa
2335,WHQ,"('what', 'be')",What are some of the famous festivals of India?,open_qa
2336,WHQ,"('what', 'be')",What is the name of Google's email service?,open_qa
2337,WHQ,"('what', 'be')",What is the meaning of life?,general_qa
2338,NULL,(),"Given a polynomial x^2 + 2x + 1, what is x?",open_qa
2339,NULL,(),Give me a list of the best cell phone brands besides Apple,brainstorming
2340,WHQ,"('when', 'be')",When is the best time of year to visit the Smoky Mountains?,open_qa
2341,NULL,(),Write a few sentences about why people who live in the Bay Area of California are moving to the Sacramento area.,creative_writing
2342,WHQ,"('when', 'do')",When did the maximum rate of water usage begin to be mandated?,closed_qa
2343,WHQ,"('how', 'be')",How was Napoleon defeated?,information_extraction
2344,NULL,(),"Given this question about tourism, what country is the 6th most visited country?",closed_qa
2345,NULL,(),"Give me an idea for a country to travel to that is safe, inexpensive and does not fall into the well trodden tourist path?",brainstorming
2346,WHQ,"('why', 'do')",Why do we watch television?,open_qa
2347,WHQ,"('what', 'be')",What streaming shows are worth binging right now?,brainstorming
2348,WHQ,"('what', 'be')",What is electrostatics the study of?,information_extraction
2349,NULL,(),"From the below text about MS Dhoni, tell me what they were most famous for?",closed_qa
2350,WHQ,"('when', 'do')",When did World War II finish?,general_qa
2351,WHQ,"('who', 'be')",Who is the Zurich Insurance,summarization
2352,WHQ,"('how', 'be')",How accurate are future weather forecasts?,general_qa
2353,NULL,(),Tell me who are the top 5 leading scorers of all time in the NBA,classification
2354,NULL,(),Extract the most famous songs of the slashtones in a comma separated list.,information_extraction
2355,NULL,(),"Classify these programming languages to compiled or interpreted: shell script, erlang, rust, python, javascript, C++, go",classification
2356,WHQ,"('what', 'be')",What are Riot Games' most popular games?,open_qa
2357,WHQ,"('what', 'be')",What is the state capital of Nevada?,brainstorming
2358,WHQ,"('why', 'be')",Why is the glass ceiling better for minority women?,closed_qa
2359,WHQ,"('what', 'be')",What are some of the most important attributes of spacecraft battery and how are these attributes realized?,open_qa
2360,NULL,(),Why many people do not like pigeons?,general_qa
2361,WHQ,"('what', 'be')",What is the reported biodiversity of Costa Rica?,general_qa
2362,NULL,(),Imagine you are a grandparent who wants a grandchild. Write a persuasive argument to your children.,creative_writing
2363,NULL,(),Give me a list of the teams that have won the English Premier League,brainstorming
2364,WHQ,"('what', 'be')",What is the population of Canada?,brainstorming
2365,NULL,(),"Identify which animal species is alive or extinct: Velociraptor, Pacific Salmon",classification
2366,NULL,(),"Which of the following is not a Hemsworth brother? Chris, Liam, Reginald, Bobert, Robert, Luke",classification
2367,WHQ,"('what', 'do')",What does kwon mean in taekwondo?,closed_qa
2368,NULL,(),Extract the reasons the Atcama Desert is one of the driest places on earth and list them in bullet format.,information_extraction
2369,WHQ,"('what', 'be')",What was the primary reason for constructing the Berlin Wall?,information_extraction
2370,NULL,(),how to get started with data science and machine learning?,brainstorming
2371,NULL,(),"From the text provided, extract the name of the most profitable public banking company in Sri Lanka. Include the profit and revenue in US dollars.",information_extraction
2372,WHQ,"('who', 'be')",Who was the lead singer for the band Aerosmith?,open_qa
2373,NULL,(),"Given this paragraph about Twitch, during what year did twitch have more than 100 million viewers per month?",closed_qa
2374,WHQ,"('what', 'be')",What is structural biology?,classification
2375,NULL,(),What country most recently joined NATO?,open_qa
2376,WHQ,"('where', 'be')",Where was Old French language spoken?,closed_qa
2377,WHQ,"('how', 'should')",How should I pick a name for my baby?,general_qa
2378,WHQ,"('what', 'be')",What are some highlights of Lionel Messi's career goals?,summarization
2379,WHQ,"('how', 'can')",How can I go from my couch to running a 5K in 3 months?,general_qa
2380,WHQ,"('what', 'be')",What is the best breakfast to order when out with friends?,creative_writing
2381,WHQ,"('who', 'be')",Who are Sinti people?,information_extraction
2382,NULL,(),"Given a reference text about Joseph Charlton, what college football team did he play for?",closed_qa
2383,DOQ,"('do', 'Arizona')",Does Arizona use Daylight Savings?,open_qa
2384,WHQ,"('why', 'should')",Why should you live in Florida?,creative_writing
2385,WHQ,"('what', 'do')",What famous character did William B. Davis portray?,open_qa
2386,NULL,(),Based on the above passage what are the heavier elements which are more fissionable?,information_extraction
2387,NULL,(),Write a leave letter to your teacher.,creative_writing
2388,NULL,(),Name ten Shakespeare plays,open_qa
2389,NULL,(),How many countries in Europe do have the Euro as monetary currency?,closed_qa
2390,WHQ,"('what', 'do')",What did the Triceratops use their horns for?,information_extraction
2391,NULL,(),How to become a millionaire?,general_qa
2392,WHQ,"('what', 'be')",What are Singapore main geographical points according to this text? Bullet point please.,information_extraction
2393,NULL,(),How many variants of the PrintNightmare existed?,summarization
2394,NULL,(),provide the list of the List of American foods that is related to breeds,summarization
2395,NULL,(),write some critical points on University of Sfax using below text as a reference,summarization
2396,WHQ,"('what', 'be')",What are some great comets named after people?,brainstorming
2397,WHQ,"('what', 'be')",What is a sleeping bag?,open_qa
2398,NULL,(),"From the following list of movies, please tell me which ones are comedies, dramas, horror, or action: When Harry Met Sally, The Exorcist, The Godfather, Mission Impossible",classification
2399,WHQ,"('who', 'be')",Who is David Dicks?,summarization
2400,WHQ,"('what', 'be')",What is the difference between a violin and a viola?,open_qa
2401,WHQ,"('who', 'would')",Who would win between a boxer and an MMA fighter?,brainstorming
2402,NULL,(),Why you need to save Money,brainstorming
2403,WHQ,"('what', 'be')",What is a stock index?,open_qa
2404,NULL,(),list 7 favourite flavours,brainstorming
2405,NULL,(),"Tell me whether each airline is American or European: British Airways, United Airlines, Southwest Airlines, Jet Blue, Easy Jet, Ryan Air",classification
2406,NULL,(),"Given this text, summarize the major events in Call of Duty: Modern Warfare 2 game development and release.",closed_qa
2407,NULL,(),"Describe a plan for a road trip from Las Vegas to West Grand Canyon, including stops for visiting Hoover Dam and lunch. Your plan should include a budget, a timeline, and a description of the sights, for a group of 7 friends.",creative_writing
2408,NULL,(),Extract the number of men and women living in the municipality of Paradela and list them using bullets in the format {men} - {number} and {woman} - {number) in a comma separated format.,information_extraction
2409,WHQ,"('what', 'be')",What are the co-founders of Tesla Motors?,open_qa
2410,WHQ,"('what', 'be')",What is the difference between a refractor telescope and a reflector telescope?,open_qa
2411,NULL,(),"Identify which instrument is string or percussion: Celesta, Masenqo",classification
2412,WHQ,"('what', 'should')","What should I do if I disagree with a friend, co-worker or family member on something I feel passionate about, such as politics?",general_qa
2413,WHQ,"('what', 'be')",What is the Indianapolis 500?,summarization
2414,NULL,(),"From the passage provided, extract the country which hosted the 2022 world cup.",information_extraction
2415,NULL,(),How to lose weight?,brainstorming
2416,WHQ,"('which', 'build')",Which company built the F-22 Raptor?,closed_qa
2417,NULL,(),From the passage mention the name of the kids of Nita Ambani. Display the results in comma separated format.,information_extraction
2418,NULL,(),Give me a list of 1980s computer games.,brainstorming
2419,WHQ,"('what', 'be')",What are the names of five of the best Pokemon cards and why?,brainstorming
2420,WHQ,"('who', 'be')","Who is Frank Lloyd Wright, and why is he famous?",closed_qa
2421,WHQ,"('who', 'be')",Who is Juliette Roche?,summarization
2422,WHQ,"('what', 'be')",What was Selective Service Act?,open_qa
2423,QIS,"('be', 'sun')",Is the sun hot?,open_qa
2424,NULL,(),"Classify each of the following as either a Carnivore or a Herbivore: Cow, Shark, Zebra, Lion, Wolf, Elephant, Tiger, Deer, Leopard, Cheetah",classification
2425,NULL,(),"Which of the following numbers is a irrational number: -200, -1.5, -1, 0, 1, 1.5, 200, pi, e, sqrt(-1)?",classification
2426,NULL,(),"Given the reference paragraph, when was the CUBC formed?",closed_qa
2427,WHQ,"('where', 'be')",Where are good locations to scuba dive?,brainstorming
2428,WHQ,"('what', 'be')",What is a fishing vessel?,information_extraction
2429,NULL,(),In what way did Étienne Halphen interests lead to him discovering the harmonic distribution?,information_extraction
2430,NULL,(),"Given a reference text about the Kumanichi Road Race, tell me when the race was first held and who holds the course records.",closed_qa
2431,NULL,(),Give a summary of Manhattan Project,summarization
